"","Species","act","se","lcl.2.5%","ucl.97.5%"
"1","DESERT_FOX",0.559510826477493,0.0270954344866028,0.467599581364979,0.575778628202211
"2","INDIAN_FOX",0.452293120512707,0.0591048526353133,0.346432371467552,0.576493021645713
"3","CHINKARA",0.522614315045171,0.0200731817697911,0.481297647759089,0.56039308722361
"4","DESERT_CAT",0.609458004016323,0.037602335158107,0.487752103470731,0.636861321175366
"5","DOG",0.269599745810468,0.0412940912043217,0.202379631084511,0.361266939359387
"6","WILD_PIG",0.395967985419906,0.033656066429785,0.336086178831403,0.466495967357672
"7","NILGAI",0.465303667212781,0.0348222780145187,0.389479236212367,0.519957247817597
"8","HARE",0.436390668141244,0.0310507560466933,0.360470521775359,0.477874001606226
