"","Grid","effort_start","effort_end","hours","effort_hours","effort_secs"
"308","OUT 730",2018-03-11 18:58:41,2018-04-06 13:04:00,618.088611111111,910.881388888889,3279173
"309","OUT 730",2018-04-06 14:04:00,2018-04-18 18:51:34,292.792777777778,910.881388888889,3279173
"310","OUT 732",2018-03-05 13:49:17,2018-03-07 07:03:00,41.2286111111111,1059.83194444444,3815395
"311","OUT 732",2018-03-07 08:03:00,2018-04-18 18:39:12,1018.60333333333,1059.83194444444,3815395
"312","OUT 741",2018-03-11 16:48:48,2018-04-14 15:42:00,814.886666666667,913.148333333333,3287334
"313","OUT 741",2018-04-14 16:42:00,2018-04-18 18:57:42,98.2616666666667,913.148333333333,3287334
"314","OUT 744",2018-03-11 17:30:19,2018-04-18 18:45:21,913.250555555556,913.250555555556,3287702
"315","OUT 747",2018-03-11 09:27:37,2018-04-02 07:43:05,526.257777777778,526.257777777778,1894528
"316","OUT 749",2018-03-11 19:29:39,2018-03-12 14:24:00,18.9058333333333,839.704722222222,3022937
"317","OUT 749",2018-03-15 12:32:00,2018-03-25 20:43:00,248.183333333333,839.704722222222,3022937
"318","OUT 749",2018-03-25 21:43:00,2018-04-18 18:19:56,572.615555555556,839.704722222222,3022937
"319","OUT 753",2018-03-11 12:40:40,2018-04-18 18:04:48,917.402222222222,917.402222222222,3302648
"320","OUT 755",2018-03-11 10:12:07,2018-04-12 02:56:00,760.731388888889,830.313055555556,2989127
"321","OUT 755",2018-04-15 19:50:00,2018-04-16 09:58:00,14.1333333333333,830.313055555556,2989127
"322","OUT 755",2018-04-16 10:58:00,2018-04-18 18:24:54,55.4483333333333,830.313055555556,2989127
"323","OUT 758",2018-03-11 11:54:35,2018-03-25 12:34:00,336.656944444444,917.330277777778,3302389
"324","OUT 758",2018-03-25 13:34:00,2018-04-18 18:14:24,580.673333333333,917.330277777778,3302389
"325","R143",2017-02-10 17:58:18,2017-03-28 13:32:48,1099.575,1099.575,3958470
"326","R145",2017-03-05 10:44:42,2017-03-28 13:17:54,554.553333333333,554.553333333333,1996392
"327","R149",2017-02-10 14:23:52,2017-03-28 12:51:46,1102.465,1102.465,3968874
"328","R151",2017-02-10 12:20:32,2017-03-28 10:02:24,1101.69777777778,1101.69777777778,3966112
"329","R153",2017-02-10 13:21:09,2017-02-22 06:35:00,281.230833333333,832.796666666667,2998068
"330","R153",2017-03-05 10:00:00,2017-03-05 18:03:00,8.05,832.796666666667,2998068
"331","R153",2017-03-05 19:03:00,2017-03-28 10:33:57,543.515833333333,832.796666666667,2998068
"332","R154",2017-02-09 18:18:18,2017-03-28 14:02:22,1123.73444444444,1123.73444444444,4045444
"333","R155",2017-02-09 18:58:38,2017-03-28 13:49:09,1122.84194444444,1122.84194444444,4042231
"334","R158",2017-02-10 11:05:15,2017-02-28 01:42:00,422.6125,1101.69972222222,3966119
"335","R158",2017-02-28 02:42:00,2017-03-28 09:47:14,679.087222222222,1101.69972222222,3966119
"336","R159",2017-02-09 19:35:33,2017-03-28 10:17:44,1118.70305555556,1118.70305555556,4027331
"337","R160",2017-02-09 17:30:41,2017-03-28 14:12:51,1124.70277777778,1124.70277777778,4048930
"338","R161",2017-02-09 20:01:05,2017-03-28 13:00:54,1120.99694444444,1120.99694444444,4035589
"339","R162",2017-02-10 19:29:05,2017-02-19 17:40:00,214.181944444444,1096.74861111111,3948295
"340","R162",2017-02-19 18:40:00,2017-03-28 13:14:00,882.566666666667,1096.74861111111,3948295
"341","R163",2017-02-10 20:06:15,2017-03-28 13:33:25,1097.45277777778,1097.45277777778,3950830
"342","R165",2017-02-10 19:18:59,2017-03-03 18:16:00,502.950277777778,1093.20055555556,3935522
"343","R165",2017-03-03 19:16:00,2017-03-28 09:31:01,590.250277777778,1093.20055555556,3935522
"344","R166",2017-02-12 19:03:10,2017-03-28 12:30:30,1049.45555555556,1049.45555555556,3778040
"345","R167",2017-02-09 16:39:07,2017-03-19 18:53:00,914.231388888889,1051.16666666667,3784200
"346","R167",2017-03-22 18:54:00,2017-03-23 09:34:00,14.6666666666667,1051.16666666667,3784200
"347","R167",2017-03-23 10:34:00,2017-03-28 12:50:07,122.268611111111,1051.16666666667,3784200
"348","R168",2017-02-11 10:35:40,2017-03-28 14:09:29,1083.56361111111,1083.56361111111,3900829
"349","R169",2017-02-10 18:49:48,2017-03-28 12:32:57,1097.71916666667,1097.71916666667,3951789
"350","R170",2017-02-10 15:03:27,2017-03-28 14:31:09,1103.46166666667,1103.46166666667,3972462
"351","R172",2017-02-10 09:05:11,2017-03-07 01:38:00,592.546944444444,673.9025,2426049
"352","R172",2017-03-07 02:38:00,2017-03-10 11:59:20,81.3555555555556,673.9025,2426049
"353","R173",2017-02-09 18:05:36,2017-02-28 19:55:09,457.825833333333,457.825833333333,1648173
"354","R173_1",2017-03-06 08:41:16,2017-03-28 12:22:54,531.693888888889,531.693888888889,1914098
"355","R174",2017-02-09 14:22:28,2017-03-09 18:23:00,676.008888888889,1084.28222222222,3903416
"356","R174",2017-03-09 19:23:00,2017-03-26 19:39:24,408.273333333333,1084.28222222222,3903416
"357","R175",2017-02-09 12:45:56,2017-03-28 12:14:47,1127.48083333333,1127.48083333333,4058931
"358","R177",2017-02-10 13:38:32,2017-02-24 13:43:06,336.076111111111,336.076111111111,1209874
"359","R178",2017-02-09 17:02:50,2017-03-28 08:44:35,1119.69583333333,1119.69583333333,4030905
"360","R179",2017-02-09 16:06:17,2017-03-28 14:27:14,1126.34916666667,1126.34916666667,4054857
"361","R180",2017-03-06 13:37:26,2017-03-23 17:51:00,412.226111111111,523.366944444444,1884121
"362","R180",2017-03-23 18:51:00,2017-03-28 09:59:27,111.140833333333,523.366944444444,1884121
"363","R181",2017-02-09 11:52:48,2017-03-28 11:20:22,1127.45944444444,1127.45944444444,4058854
"364","R182",2017-02-10 13:03:15,2017-02-18 15:59:00,194.929166666667,1101.48472222222,3965345
"365","R182",2017-02-18 16:59:00,2017-03-28 11:32:20,906.555555555556,1101.48472222222,3965345
"366","R183",2017-02-10 14:10:36,2017-03-28 11:54:44,1101.73555555556,1101.73555555556,3966248
"367","R184",2017-02-09 13:59:22,2017-03-28 14:38:05,1128.64527777778,1128.64527777778,4063123
"368","R185",2017-02-09 11:30:46,2017-03-28 14:46:47,1131.26694444444,1131.26694444444,4072561
"369","R186",2017-02-09 11:11:39,2017-03-28 09:26:16,1126.24361111111,1126.24361111111,4054477
"370","R187",2017-02-10 12:22:22,2017-03-28 09:15:30,1100.88555555556,1100.88555555556,3963188
"371","R188",2017-02-09 09:58:00,2017-03-28 09:00:15,1127.0375,1127.0375,4057335
"372","Cha_10",2017-12-02 10:15:07,2018-01-12 11:29:35,985.241111111111,985.241111111111,3546868
"373","Cha_15",2017-12-02 12:00:04,2018-01-12 11:57:58,983.965,983.965,3542274
"374","Cha_16",2017-12-02 13:39:03,2018-01-12 11:41:36,982.0425,982.0425,3535353
"375","Cha_19",2017-12-02 15:44:45,2017-12-11 17:30:00,217.754166666667,814.302777777778,2931490
"376","Cha_19",2017-12-18 15:28:00,2018-01-05 09:14:00,425.766666666667,814.302777777778,2931490
"377","Cha_19",2018-01-05 10:14:00,2018-01-12 13:00:55,170.781944444444,814.302777777778,2931490
"378","Cha_20",2017-12-02 13:51:32,2018-01-12 12:41:12,982.827777777778,982.827777777778,3538180
"379","Cha_22",2017-12-02 12:38:29,2018-01-12 11:51:30,983.216944444444,983.216944444444,3539581
"380","Cha_23",2017-12-01 18:33:44,2018-01-12 10:39:11,1000.09083333333,1000.09083333333,3600327
