"","Species","Region.Label","Density","Density_se","Density_CV","LCI","UCI","Area","Nc","n","k","Covered_area","group_mean","group_var","group_CV","ER","ER_var","ER_CV"
"26","CHINKARA","Miajlar_Inside",5.6812,1.2899,0.2271,3.5596,9.0675,1,15683.9703,2045,21,2760.6717,1.10855745721271,7.3182226828544e-05,0.00771693073863432,2.78107423092384e-05,3.97677806678537e-11,0.226753028645146
"27","CHINKARA","Miajlar_Outside",10.7243,6.6292,0.6181,3.2855,35.0053,1,25355.8673,3470,22,2364.3363,1.05619596541787,2.49257347077836e-05,0.00472693336341453,5.51003364423367e-05,1.15979355631585e-09,0.61806776688197
"28","CHINKARA","Ramdeora_Inside",7.6554,1.2777,0.1669,5.4421,10.7688,1,32654.7595,4208,26,4265.6008,1.12167300380228,3.27459520013512e-05,0.00510167211434903,3.70364672251733e-05,3.8066621136352e-11,0.166587576693536
"29","CHINKARA","Rasla_Inside",2.2868,1.0236,0.4476,0.8933,5.8543,1,4759.8463,545,12,2081.416,1.26238532110092,0.000666078315847844,0.0204442278152822,9.83041044867653e-06,1.93147224020975e-11,0.447066969335506
"30","CHINKARA","Rasla_Outside",0.9936,0.2543,0.256,0.5842,1.6901,1,3479.9458,460,18,3502.2737,1.09347826086957,0.000231980841065685,0.0139288706698204,4.9310770497083e-06,1.58670725915518e-12,0.255450416865464
"31","CHINKARA","RKVY_Inside",7.7502,1.214,0.1566,5.6486,10.6337,1,46360.0728,6033,35,5981.7749,1.11072434941157,2.30835877528003e-05,0.00432559009630018,3.78649417341519e-05,3.50406466387771e-11,0.156332316469338
"32","CHINKARA","Sudasri_Inside",4.3932,0.6931,0.1578,3.2038,6.0242,1,23570.9249,2847,46,5365.3085,1.19669827889006,9.9456068811515e-05,0.00833356789504201,1.99217186317618e-05,9.82106499802911e-12,0.15730860894998
"33","CHINKARA","Sudasri_Outside",3.6568,0.8331,0.2278,2.3052,5.801,1,15628.6232,1999,28,4273.8321,1.13006503251626,8.76772449151935e-05,0.00828590615916406,1.75601966439838e-05,1.59606924183507e-11,0.227507903916551
"34","DESERT_CAT","Chouhani_Inside",4.5501,1.9717,0.4333,1.7107,12.1025,1,1233.3758,198,8,271.0632,1,0,0,5.87404934593054e-06,6.4354840270533e-12,0.431869981223242
"35","DESERT_CAT","Gajaimata_Inside",7.6259,2.2206,0.2912,4.104,14.1698,1,3681.44,591,13,482.7577,1,0,0,9.84467189949013e-06,8.09584797655316e-12,0.289021350181552
"36","DESERT_CAT","Gajaimata_PPC_Inside",2.6653,0.4528,0.1699,1.3649,5.2048,1,205.5626,33,3,77.1252,1,0,0,3.44080855247374e-06,3.26672041442674e-13,0.166109883727385
"37","DESERT_CAT","Kanoi_Inside",2.6412,0.5744,0.2175,1.6415,4.2497,1,784.8755,126,11,297.1669,1,0,0,3.40967533260909e-06,5.35240824564906e-13,0.21456633735219
"38","DESERT_CAT","Miajlar_Inside",1.3212,0.3922,0.2968,0.6866,2.5423,1,317.6877,51,10,240.4498,1,0,0,1.7056451167882e-06,2.52637761166459e-13,0.29468664665404
"39","DESERT_CAT","Miajlar_Outside",1.9085,0.8052,0.4219,0.7522,4.8423,1,429.8128,69,9,225.2042,1,0,0,2.46385779498368e-06,1.07291534265942e-12,0.420404242032191
"40","DESERT_CAT","Ramdeora_Inside",1.8061,1.2468,0.6903,7e-04,4557.2075,1,143.2709,23,2,79.3262,1,0,0,2.33160064992861e-06,2.58372257332555e-12,0.689396020386872
"41","DESERT_CAT","Rasla_Inside",1.2799,0.6116,0.4779,0.3653,4.4837,1,274.0835,44,5,214.1493,1,0,0,1.6522619466049e-06,6.19932063588675e-13,0.476533184204179
"42","DESERT_CAT","Rasla_Outside",2.4983,0.8628,0.3453,1.2044,5.1822,1,1438.9385,230,13,575.9636,1.00434782608696,1.89035916824197e-05,0.00432900432900433,3.21126195711644e-06,1.21663422257837e-12,0.343482234802458
"43","DESERT_CAT","RKVY_Inside",8.1788,2.1814,0.2667,4.7542,14.0701,1,6596.6919,1021,23,806.5634,1.03721841332027,3.5130591206074e-05,0.00571442465951623,1.01795879719544e-05,7.23682779735154e-12,0.264267599271043
"44","DESERT_CAT","Sudasri_Inside",8.1468,2.3044,0.2829,4.6187,14.3698,1,6528.171,1044,29,801.3171,1.00383141762452,3.6593843370159e-06,0.00190565039160856,1.04770503073133e-05,8.64363651045808e-12,0.280613925009296
"45","DESERT_CAT","Sudasri_Outside",3.2108,1.994,0.621,0.9144,11.2745,1,1308.1259,210,12,407.4148,1,0,0,4.14500858559576e-06,6.60434172719243e-12,0.619996637220171
"46","DOG","Chouhani_Inside",0.4858,0.0997,0.2051,0.2051,1.1505,1,51.2767,5,3,105.5543,1,0,0,4.68069164146426e-07,9.15667424834512e-15,0.20443669477456
"47","DOG","Gajaimata_Inside",1.8724,0.327,0.1747,1.0849,3.2318,1,287.1494,28,4,153.3553,1,0,0,1.80416114303402e-06,9.83487330728142e-14,0.173823727938188
"48","DOG","Kanoi_Inside",2.1876,1.0188,0.4657,0.5352,8.9414,1,215.3621,21,4,98.447,1,0,0,2.10781662718024e-06,9.62365666592581e-13,0.465411632982999
"49","DOG","Miajlar_Inside",2.5257,0.9627,0.3811,0.0245,260.4211,1,205.1067,20,2,81.2073,1,0,0,2.4336107933559e-06,8.58658828821076e-13,0.380766907715233
"50","DOG","Miajlar_Outside",1.52,0.7096,0.4668,0.2261,10.2194,1,112.8087,11,3,74.2139,1,0,0,1.4646158139629e-06,4.66829918818472e-13,0.46650426852022
"51","DOG","Ramdeora_Inside",1.0207,0.925,0.9063,0.0366,28.4998,1,133.3194,13,3,130.6204,1,0,0,9.83441121001839e-07,7.94124911109922e-13,0.906141552736655
"52","DOG","Rasla_Inside",1.7921,0.6984,0.3897,0.6901,4.6533,1,451.2348,37,6,251.7973,1.18918918918919,0.00426101777453129,0.0548915785840509,1.45200037971772e-06,3.13222301445075e-13,0.385442507704532
"53","DOG","Rasla_Outside",36.7915,18.822,0.5116,11.7717,114.9888,1,13034.5322,1240,8,354.2809,1.025,2.48802364029264e-05,0.00486635050001375,3.45851859766777e-05,3.12676801067178e-10,0.511278716957805
"54","DOG","RKVY_Inside",1.6229,0.9066,0.5586,0.3096,8.5083,1,256.3834,25,4,157.9784,1,0,0,1.56371823423686e-06,7.62375123658592e-13,0.558374861786945
"55","DOG","Sudasri_Inside",0.7792,0.217,0.2785,0.2424,2.5048,1,71.7874,7,3,92.128,1,0,0,7.50797212568817e-07,4.35650149634473e-14,0.278000951392832
"56","DOG","Sudasri_Outside",0.7446,0.3577,0.4804,0.231,2.4002,1,194.8514,19,6,261.6933,1,0,0,7.17426152871732e-07,1.18630674535049e-13,0.480088491792979
"57","WILD_PIG","Chouhani_Inside",0.319,0.2437,0.7639,2e-04,559.1986,1,73.8043,8,2,231.3408,1.375,0.0334821428571429,0.1330772826748,1.12921573285466e-06,7.210111080472e-13,0.751958819579332
"58","WILD_PIG","Gajaimata_Inside",3.0291,0.8094,0.2672,1.7048,5.3821,1,6092.2087,502,12,2011.2219,1.80876494023904,0.0042053002928921,0.0358522466328458,8.15047610308008e-06,4.63353516689256e-12,0.264102950656959
