Camera_id,inside_out,Cent_long,Cent_lat,Dist_to_En,Dist_to_Se,TRI_count,TRI_sum,TRI_mean,TRI_median,VALUE_0,VALUE_1,Proportion
Chouhani Cha_10,inside,70.567790000000002,26.622309999999999,-379.611590200000023,4093.639787000000069,"32",75.375000000000000,2.355470000000000,2.250000000000000,"195750","45900",0.189944134000000
Chouhani Cha_15,inside,70.574349999999995,26.620180000000001,-1027.069134999999960,4351.558906999999635,"34",65.625000000000000,1.930150000000000,1.750000000000000,"89325","152100",0.630009320000000
Chouhani Cha_16,inside,70.572260000000000,26.624189999999999,-578.272051700000020,3890.698395999999775,"34",112.000000000000000,3.294120000000000,3.375000000000000,"57375","184050",0.762348555000000
Chouhani Cha_19,inside,70.583010000000002,26.614020000000000,-682.541795999999977,5174.118387999999868,"33",78.125000000000000,2.367420000000000,2.375000000000000,"223875","17550",0.072693383000000
Chouhani Cha_20,inside,70.580910000000003,26.618040000000001,-975.357462499999997,4691.861737000000176,"32",95.000000000000000,2.968750000000000,2.875000000000000,"212175","29475",0.121973929000000
Chouhani Cha_22,inside,70.576729999999998,26.626080000000002,-801.241733199999999,3735.338459000000057,"32",88.125000000000000,2.753910000000000,2.500000000000000,"40275","201375",0.833333333000000
Chouhani Cha_23,inside,70.574629999999999,26.630089999999999,-441.469511500000010,3263.985333999999966,"33",152.875000000000000,4.632580000000000,4.250000000000000,"54450","187425",0.774883721000000
Chouhani Cha_25,inside,70.585380000000001,26.619920000000000,-622.746948299999985,4615.333848000000216,"33",96.750000000000000,2.931820000000000,2.875000000000000,"199350","42300",0.175046555000000
Chouhani Cha_26,inside,70.583290000000005,26.623940000000001,-647.939598100000012,4126.683981000000131,"30",101.875000000000000,3.395830000000000,3.250000000000000,"223425","18225",0.075418994000000
Chouhani Cha_27,inside,70.581199999999995,26.627960000000002,-798.359755299999961,3638.827728000000207,"33",102.750000000000000,3.113640000000000,3.250000000000000,"131175","110475",0.457169460000000
Chouhani Cha_28,inside,70.579099999999997,26.631979999999999,-568.993036899999993,3151.851829000000180,"34",149.375000000000000,4.393380000000000,4.375000000000000,"50400","191025",0.791239515000000
Chouhani Cha_29,inside,70.577320000000000,26.635400000000001,-151.017674300000010,2739.144416999999976,"23",71.000000000000000,3.086960000000000,2.500000000000000,"34200","135225",0.798140770000000
Chouhani Cha_31-36,inside,70.592190000000002,26.627230000000001,-171.760982600000006,4171.765191999999843,"34",145.625000000000000,4.283090000000000,4.125000000000000,"166950","74700",0.309124767000000
Chouhani Cha_32,inside,70.585669999999993,26.629840000000002,-307.248314600000015,3607.241050999999970,"31",121.625000000000000,3.923390000000000,3.750000000000000,"134100","107775",0.445581395000000
Chouhani Cha_33,inside,70.583479999999994,26.633690000000001,-212.615558600000014,3128.476095999999870,"30",143.625000000000000,4.787500000000000,5.187500000000000,"116100","106875",0.479313824000000
Chouhani Cha_34,inside,70.581659999999999,26.637329999999999,-192.911031400000013,2686.419899999999870,"23",67.750000000000000,2.945650000000000,2.875000000000000,"89325","83700",0.483745124000000
G200,inside,70.594290000000001,26.671800000000001,-168.392243600000000,2235.582042000000001,"34",71.875000000000000,2.113970000000000,2.125000000000000,"154125","87300",0.361602982000000
G202,inside,70.591819999999998,26.675429999999999,-402.546025999999983,2114.124342999999953,"31",42.375000000000000,1.366940000000000,1.250000000000000,"130275","111375",0.460893855000000
G203,inside,70.596130000000002,26.677389999999999,-331.736875899999973,1650.242837999999892,"34",99.750000000000000,2.933820000000000,3.062500000000000,"223200","18675",0.077209302000000
G207,inside,70.594149999999999,26.681249999999999,-443.024646599999983,1558.381887000000006,"34",45.250000000000000,1.330880000000000,1.250000000000000,"134100","107550",0.445065177000000
G208,inside,70.598770000000002,26.683440000000001,-631.095036899999968,1038.500913000000082,"33",59.000000000000000,1.787880000000000,1.500000000000000,"204975","37125",0.153345725000000
G209,inside,70.603009999999998,26.685020000000002,-325.473979699999973,584.690949100000012,"31",78.000000000000000,2.516130000000000,2.250000000000000,"182250","32175",0.150052466000000
G210,inside,70.592110000000005,26.685469999999999,-255.090564000000001,1604.429851000000099,"33",34.875000000000000,1.056820000000000,0.875000000000000,"145125","96750",0.400000000000000
G211,inside,70.596800000000002,26.687329999999999,-657.841167300000052,1118.441062999999986,"34",38.625000000000000,1.136030000000000,1.000000000000000,"126225","115425",0.477653631000000
